"target_model_name","target_table_name","target_column_name","source_model_name","source_table_name","source_column_name","derived_indicator","movement_expression","dependency_type","source_version"
"Converter","customer_segment_analytics","revenue_rank","SSF","ranked_customers","revenue_rank","false","rc.revenue_rank AS revenue_rank","strict",""
"Converter","customer_segment_analytics","segment","SSF","ranked_customers","segment","false","rc.segment AS segment","strict",""
"Converter","customer_segment_analytics","","SSF","raw_orders","","false","","strict",""
"Converter","customer_subqueries","customer_id","SSF","stg_customers","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","customer_subqueries","email","SSF","stg_customers","email","false","c.email AS email","strict",""
"Converter","customer_subqueries","last_order_date","SSF","r","last_order_date","false","r.last_order_date AS last_order_date","strict",""
"Converter","customer_subqueries","order_count","SSF","t","order_count","false","t.order_count AS order_count","strict",""
"Converter","customer_subqueries","total_revenue","SSF","t","total_revenue","false","t.total_revenue AS total_revenue","strict",""
"Converter","customer_subqueries","max_order_global","SSF","raw_orders","total_amount","true","(SELECT MAX(raw_orders.total_amount) AS _col_0 FROM raw_orders AS raw_orders) AS max_order_global","strict",""
"Converter","customer_subqueries","lifetime_order_count","SSF","raw_orders","customer_id","true","(SELECT COUNT(*) AS _col_0 FROM raw_orders AS o WHERE o.customer_id = c.customer_id) AS lifetime_order_count","strict",""
"Converter","customer_subqueries","lifetime_order_count","SSF","stg_customers","customer_id","true","(SELECT COUNT(*) AS _col_0 FROM raw_orders AS o WHERE o.customer_id = c.customer_id) AS lifetime_order_count","strict",""
"Converter","distinct_customers","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","distinct_customers","email","RAW","customer","email","false","c.email AS email","strict",""
"Converter","distinct_customers","email_domain","RAW","customer","email","true","SUBSTRING(c.email, STR_POSITION(c.email, '@') + 1) AS email_domain","strict",""
"Converter","except_subscribed_customers","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","except_subscribed_customers","email","RAW","customer","email","false","c.email AS email","strict",""
"Converter","except_subscribed_customers","","RAW","orders","","false","","strict",""
"Converter","filtered_high_value","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","filtered_high_value","country","RAW","customer","country","false","c.country AS country","strict",""
"Converter","filtered_high_value","order_date","RAW","orders","order_date","false","o.order_date AS order_date","strict",""
"Converter","filtered_high_value","amount","RAW","orders","amount","false","o.amount AS amount","strict",""
"Converter","having_top_spenders","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","having_top_spenders","country","RAW","customer","country","false","c.country AS country","strict",""
"Converter","having_top_spenders","total_revenue","RAW","orders","amount","true","CAST(SUM(o.amount) AS DECIMAL(18, 2)) AS total_revenue","strict",""
"Converter","having_top_spenders","order_count","SSF","","","true","COUNT(*) AS order_count","strict",""
"Converter","nested_union_except","customer_id","RAW","orders","customer_id","false","orders.customer_id AS customer_id","strict",""
"Converter","nested_union_except","channel","SSF","","","true","'churned' AS channel","strict",""
"Converter","nested_union_except","","RAW","customer","","false","","strict",""
"Converter","ordered_top_customers","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","ordered_top_customers","country","RAW","customer","country","false","c.country AS country","strict",""
"Converter","ordered_top_customers","amount","RAW","orders","amount","false","o.amount AS amount","strict",""
"Converter","ordered_top_customers","order_date","RAW","orders","order_date","false","o.order_date AS order_date","strict",""
"Converter","passthrough_with_loans","customer_id","SSF","active_customers","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","passthrough_with_loans","email","SSF","active_customers","email","false","c.email AS email","strict",""
"Converter","passthrough_with_loans","loan_product","SSF","open_loans","product_code","false","l.product_code AS loan_product","loose",""
"Converter","passthrough_with_loans","principal_amount","SSF","open_loans","principal_amount","false","l.principal_amount AS principal_amount","loose",""
"Converter","passthrough_with_loans","interest_rate","SSF","open_loans","interest_rate","false","l.interest_rate AS interest_rate","loose",""
"Converter","passthrough_with_loans","loan_status","SSF","open_loans","status","false","l.status AS loan_status","loose",""
"Converter","passthrough_with_loans","","RAW","customer","","false","","strict",""
"Converter","passthrough_with_loans","","RAW","loans","","false","","strict",""
"Converter","predicate_subqueries","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","predicate_subqueries","email","RAW","customer","email","false","c.email AS email","strict",""
"Converter","predicate_subqueries","country","RAW","customer","country","false","c.country AS country","strict",""
"Converter","predicate_subqueries","","RAW","loans","","false","","strict",""
"Converter","predicate_subqueries","","RAW","orders","","false","","strict",""
"Converter","raw_customers","customer_id","LANDING","crm_customers_export","customer_id","false","crm_customers_export.customer_id AS customer_id","strict",""
"Converter","raw_customers","first_name","LANDING","crm_customers_export","first_name","false","crm_customers_export.first_name AS first_name","strict",""
"Converter","raw_customers","last_name","LANDING","crm_customers_export","last_name","false","crm_customers_export.last_name AS last_name","strict",""
"Converter","raw_customers","email","LANDING","crm_customers_export","email","false","crm_customers_export.email AS email","strict",""
"Converter","raw_customers","phone","LANDING","crm_customers_export","phone","false","crm_customers_export.phone AS phone","strict",""
"Converter","raw_customers","created_at","LANDING","crm_customers_export","created_at","false","crm_customers_export.created_at AS created_at","strict",""
"Converter","raw_customers","source_system","LANDING","crm_customers_export","source_system","false","crm_customers_export.source_system AS source_system","strict",""
"Converter","raw_orders","order_id","LANDING","oms_orders_export","order_id","false","oms_orders_export.order_id AS order_id","strict",""
"Converter","raw_orders","customer_id","LANDING","oms_orders_export","customer_id","false","oms_orders_export.customer_id AS customer_id","strict",""
"Converter","raw_orders","order_date","LANDING","oms_orders_export","order_date","false","oms_orders_export.order_date AS order_date","strict",""
"Converter","raw_orders","order_status","LANDING","oms_orders_export","order_status","false","oms_orders_export.order_status AS order_status","strict",""
"Converter","raw_orders","total_amount","LANDING","oms_orders_export","total_amount","false","oms_orders_export.total_amount AS total_amount","strict",""
"Converter","raw_orders","currency","LANDING","oms_orders_export","currency","false","oms_orders_export.currency AS currency","strict",""
"Converter","raw_orders","source_system","LANDING","oms_orders_export","source_system","false","oms_orders_export.source_system AS source_system","strict",""
"Converter","source_derivations","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","source_derivations","email_clean","RAW","customer","email","true","UPPER(TRIM(c.email)) AS email_clean","strict",""
"Converter","source_derivations","email_domain","RAW","customer","email","true","SUBSTRING(c.email, STR_POSITION(c.email, '@') + 1) AS email_domain","strict",""
"Converter","source_derivations","country","RAW","customer","country","false","c.country AS country","strict",""
"Converter","source_derivations","order_date","RAW","orders","order_date","false","o.order_date AS order_date","loose",""
"Converter","source_derivations","amount_with_vat","RAW","orders","amount","true","o.amount * 1.21 AS amount_with_vat","loose",""
"Converter","source_derivations","amount_plus_tip","RAW","orders","amount","true","o.amount + o.amount * 0.05 AS amount_plus_tip","loose",""
"Converter","source_derivations","amount_after_discount","RAW","orders","amount","true","o.amount - o.amount * 0.10 AS amount_after_discount","loose",""
"Converter","source_derivations","composite_key","RAW","orders","order_id","true","c.customer_id || ':' || o.order_id AS composite_key","loose",""
"Converter","source_derivations","composite_key","RAW","customer","customer_id","true","c.customer_id || ':' || o.order_id AS composite_key","strict",""
"Converter","source_derivations","amount_tier","RAW","orders","amount","true","CASE WHEN o.amount > 100 THEN 'large' ELSE 'small' END AS amount_tier","loose",""
"Converter","source_derivations","amount_fmt","RAW","orders","amount","true","CAST(o.amount AS DECIMAL(18, 2)) AS amount_fmt","loose",""
"Converter","source_derivations","country_clean","RAW","customer","country","true","COALESCE(c.country, 'unknown') AS country_clean","strict",""
"Converter","source_derivations","rollup_kind","SSF","","","true","'derivation_demo' AS rollup_kind","strict",""
"Converter","stg_customers","customer_id","SSF","raw_customers","customer_id","true","CAST(raw_customers.customer_id AS BIGINT) AS customer_id","strict",""
"Converter","stg_customers","first_name","SSF","raw_customers","first_name","true","TRIM(raw_customers.first_name) AS first_name","strict",""
"Converter","stg_customers","last_name","SSF","raw_customers","last_name","true","TRIM(raw_customers.last_name) AS last_name","strict",""
"Converter","stg_customers","email","SSF","raw_customers","email","true","LOWER(TRIM(raw_customers.email)) AS email","strict",""
"Converter","stg_customers","phone","SSF","raw_customers","phone","true","NULLIF(TRIM(raw_customers.phone), '') AS phone","strict",""
"Converter","stg_customers","created_at","SSF","raw_customers","created_at","true","CAST(raw_customers.created_at AS TIMESTAMP) AS created_at","strict",""
"Converter","stg_customers","source_system","SSF","raw_customers","source_system","false","raw_customers.source_system AS source_system","strict",""
"Converter","union_revenue_breakdown","customer_id","RAW","orders","customer_id","false","o.customer_id AS customer_id","strict",""
"Converter","union_revenue_breakdown","order_date","RAW","orders","order_date","false","o.order_date AS order_date","strict",""
"Converter","union_revenue_breakdown","amount","RAW","orders","amount","false","o.amount AS amount","strict",""
"Converter","union_revenue_breakdown","channel","SSF","","","true","'web' AS channel","strict",""
"Converter","union_with_layering","country","RAW","customer","country","false","c.country AS country","strict",""
"Converter","union_with_layering","revenue","RAW","orders","amount","true","CAST(SUM(o.amount) AS DECIMAL(18, 2)) AS revenue","strict",""
"Converter","union_with_layering","order_count","SSF","","","true","COUNT(*) AS order_count","strict",""
"Converter","union_with_layering","channel","SSF","","","true","'web' AS channel","strict",""
